"axis","key","label","appears_in_ui","has_exercises","has_fallback","should_remain_visible","should_be_hidden","future_expansion","needs_content_v099","decision","reason"
"equipment","smith_machine","Smith machine","true","false","false","false","true","false","false","HIDE_UNTIL_CONTENT_EXISTS","Equipamento comum sem conteúdo específico; decisão de esconder em fase futura."
"equipment","squat_rack","Rack / suporte de agachamento","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","adjustable_bench","Banco regulável","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","gloves","Luvas","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","shin_guards","Caneleiras","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","pads","Paos / aparadores","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","gi","Kimono","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","belt","Cinto / faixa","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","grappling_dummy","Boneco de grappling","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","grip_trainer","Grip trainer","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","mobility_band","Elástico de mobilidade","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","yoga_block","Bloco de yoga","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","mobility_roller","Rolo de mobilidade","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","massage_gun","Pistola de massagem","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"martial_art","martial_conditioning","Condicionamento para artes marciais","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"martial_art","martial_mobility","Mobilidade para artes marciais","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
