"nome_proposto","categoria","subcategoria","menu_onde_vai_aparecer","musculos_zona_articulacao","equipamento","local","motivo_da_necessidade","lacuna_que_resolve","prioridade","risco_de_duplicacao","tipo_de_inclusao","depende_de_aprovacao_humana","quando_pode_ser_adicionado"
"smith machine squat - glúteos/anca - proposta 019","musculacao","smith machine squat","Musculação > Casa > Peso corporal + equipamento","glúteos/anca","smith_machine","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","nao","v0.9.9B"
"lat pulldown - dorsais/escápulas - proposta 020","musculacao","lat pulldown","Musculação > Funcional > Carga externa","dorsais/escápulas","lat_pulldown","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","nao","v0.9.9B"
"cable row - peitoral/ombro - proposta 021","musculacao","cable row","Musculação > Ginásio > Máquinas","peitoral/ombro","cable_machine","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","nao","v0.9.9B"
"bench press variation - deltoides/ombro - proposta 022","musculacao","bench press variation","Musculação > Ginásio > Cabos","deltoides/ombro","bench","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","nao","v0.9.9B"
"dumbbell unilateral - core/coluna - proposta 023","musculacao","dumbbell unilateral","Musculação > Ginásio > Halteres","core/coluna","dumbbells","parque","melhora escolha progressiva para iniciantes","menu de força","P0","medio","essencial","nao","v0.9.9B"
"barbell hinge - antebraço/pegada - proposta 024","musculacao","barbell hinge","Musculação > Casa > Peso corporal + equipamento","antebraço/pegada","barbell","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","nao","v0.9.9B"
"pull up progression - quadríceps/joelho - proposta 025","musculacao","pull up progression","Musculação > Funcional > Carga externa","quadríceps/joelho","pull_up_bar","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","nao","v0.9.9B"
"ab wheel - isquiotibiais/joelho - proposta 026","musculacao","ab wheel","Musculação > Ginásio > Máquinas","isquiotibiais/joelho","ab_wheel","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","nao","v0.9.9B"
"trx row - glúteos/anca - proposta 027","musculacao","trx row","Musculação > Ginásio > Cabos","glúteos/anca","trx","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","nao","v0.9.9B"
"rings support - dorsais/escápulas - proposta 028","musculacao","rings support","Musculação > Ginásio > Halteres","dorsais/escápulas","rings","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","nao","v0.9.9B"
"medicine ball core - peitoral/ombro - proposta 029","musculacao","medicine ball core","Musculação > Casa > Peso corporal + equipamento","peitoral/ombro","medicine_ball","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","nao","v0.9.9B"
"sandbag carry - deltoides/ombro - proposta 030","musculacao","sandbag carry","Musculação > Funcional > Carga externa","deltoides/ombro","sandbag","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","nao","v0.9.9B"
"leg press - core/coluna - proposta 031","musculacao","leg press","Musculação > Ginásio > Máquinas","core/coluna","leg_press","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","nao","v0.9.9B"
"leg extension - antebraço/pegada - proposta 032","musculacao","leg extension","Musculação > Ginásio > Cabos","antebraço/pegada","leg_extension","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","nao","v0.9.9B"
"leg curl - quadríceps/joelho - proposta 033","musculacao","leg curl","Musculação > Ginásio > Halteres","quadríceps/joelho","leg_curl","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","nao","v0.9.9B"
"smith machine squat - isquiotibiais/joelho - proposta 034","musculacao","smith machine squat","Musculação > Casa > Peso corporal + equipamento","isquiotibiais/joelho","smith_machine","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","nao","v0.9.9B"
"lat pulldown - glúteos/anca - proposta 035","musculacao","lat pulldown","Musculação > Funcional > Carga externa","glúteos/anca","lat_pulldown","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","nao","v0.9.9B"
"cable row - dorsais/escápulas - proposta 036","musculacao","cable row","Musculação > Ginásio > Máquinas","dorsais/escápulas","cable_machine","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","nao","v0.9.9B"
"bench press variation - peitoral/ombro - proposta 037","musculacao","bench press variation","Musculação > Ginásio > Cabos","peitoral/ombro","bench","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","nao","v0.9.9B"
"dumbbell unilateral - deltoides/ombro - proposta 038","musculacao","dumbbell unilateral","Musculação > Ginásio > Halteres","deltoides/ombro","dumbbells","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","medio","essencial","nao","v0.9.9B"
"barbell hinge - core/coluna - proposta 039","musculacao","barbell hinge","Musculação > Casa > Peso corporal + equipamento","core/coluna","barbell","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","nao","v0.9.9B"
"pull up progression - antebraço/pegada - proposta 040","musculacao","pull up progression","Musculação > Funcional > Carga externa","antebraço/pegada","pull_up_bar","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","nao","v0.9.9B"
"ab wheel - quadríceps/joelho - proposta 041","musculacao","ab wheel","Musculação > Ginásio > Máquinas","quadríceps/joelho","ab_wheel","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","nao","v0.9.9B"
"trx row - isquiotibiais/joelho - proposta 042","musculacao","trx row","Musculação > Ginásio > Cabos","isquiotibiais/joelho","trx","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","nao","v0.9.9B"
"rings support - glúteos/anca - proposta 043","musculacao","rings support","Musculação > Ginásio > Halteres","glúteos/anca","rings","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","nao","v0.9.9B"
"medicine ball core - dorsais/escápulas - proposta 044","musculacao","medicine ball core","Musculação > Casa > Peso corporal + equipamento","dorsais/escápulas","medicine_ball","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"sandbag carry - peitoral/ombro - proposta 045","musculacao","sandbag carry","Musculação > Funcional > Carga externa","peitoral/ombro","sandbag","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"leg press - deltoides/ombro - proposta 046","musculacao","leg press","Musculação > Ginásio > Máquinas","deltoides/ombro","leg_press","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"leg extension - core/coluna - proposta 047","musculacao","leg extension","Musculação > Ginásio > Cabos","core/coluna","leg_extension","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"leg curl - antebraço/pegada - proposta 048","musculacao","leg curl","Musculação > Ginásio > Halteres","antebraço/pegada","leg_curl","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"smith machine squat - quadríceps/joelho - proposta 049","musculacao","smith machine squat","Musculação > Casa > Peso corporal + equipamento","quadríceps/joelho","smith_machine","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"lat pulldown - isquiotibiais/joelho - proposta 050","musculacao","lat pulldown","Musculação > Funcional > Carga externa","isquiotibiais/joelho","lat_pulldown","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"cable row - glúteos/anca - proposta 051","musculacao","cable row","Musculação > Ginásio > Máquinas","glúteos/anca","cable_machine","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"bench press variation - dorsais/escápulas - proposta 052","musculacao","bench press variation","Musculação > Ginásio > Cabos","dorsais/escápulas","bench","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"dumbbell unilateral - peitoral/ombro - proposta 053","musculacao","dumbbell unilateral","Musculação > Ginásio > Halteres","peitoral/ombro","dumbbells","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","medio","essencial","nao","v0.9.9B"
"barbell hinge - deltoides/ombro - proposta 054","musculacao","barbell hinge","Musculação > Casa > Peso corporal + equipamento","deltoides/ombro","barbell","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"pull up progression - core/coluna - proposta 055","musculacao","pull up progression","Musculação > Funcional > Carga externa","core/coluna","pull_up_bar","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"ab wheel - antebraço/pegada - proposta 056","musculacao","ab wheel","Musculação > Ginásio > Máquinas","antebraço/pegada","ab_wheel","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"trx row - quadríceps/joelho - proposta 057","musculacao","trx row","Musculação > Ginásio > Cabos","quadríceps/joelho","trx","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"rings support - isquiotibiais/joelho - proposta 058","musculacao","rings support","Musculação > Ginásio > Halteres","isquiotibiais/joelho","rings","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"medicine ball core - glúteos/anca - proposta 059","musculacao","medicine ball core","Musculação > Casa > Peso corporal + equipamento","glúteos/anca","medicine_ball","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"sandbag carry - dorsais/escápulas - proposta 060","musculacao","sandbag carry","Musculação > Funcional > Carga externa","dorsais/escápulas","sandbag","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"leg press - peitoral/ombro - proposta 061","musculacao","leg press","Musculação > Ginásio > Máquinas","peitoral/ombro","leg_press","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"leg extension - deltoides/ombro - proposta 062","musculacao","leg extension","Musculação > Ginásio > Cabos","deltoides/ombro","leg_extension","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"leg curl - core/coluna - proposta 063","musculacao","leg curl","Musculação > Ginásio > Halteres","core/coluna","leg_curl","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"smith machine squat - antebraço/pegada - proposta 064","musculacao","smith machine squat","Musculação > Casa > Peso corporal + equipamento","antebraço/pegada","smith_machine","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"lat pulldown - quadríceps/joelho - proposta 065","musculacao","lat pulldown","Musculação > Funcional > Carga externa","quadríceps/joelho","lat_pulldown","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"cable row - isquiotibiais/joelho - proposta 066","musculacao","cable row","Musculação > Ginásio > Máquinas","isquiotibiais/joelho","cable_machine","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"bench press variation - glúteos/anca - proposta 067","musculacao","bench press variation","Musculação > Ginásio > Cabos","glúteos/anca","bench","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"dumbbell unilateral - dorsais/escápulas - proposta 068","musculacao","dumbbell unilateral","Musculação > Ginásio > Halteres","dorsais/escápulas","dumbbells","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","medio","essencial","nao","v0.9.9B"
"barbell hinge - peitoral/ombro - proposta 069","musculacao","barbell hinge","Musculação > Casa > Peso corporal + equipamento","peitoral/ombro","barbell","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"pull up progression - deltoides/ombro - proposta 070","musculacao","pull up progression","Musculação > Funcional > Carga externa","deltoides/ombro","pull_up_bar","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"ab wheel - core/coluna - proposta 071","musculacao","ab wheel","Musculação > Ginásio > Máquinas","core/coluna","ab_wheel","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"trx row - antebraço/pegada - proposta 072","musculacao","trx row","Musculação > Ginásio > Cabos","antebraço/pegada","trx","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"rings support - quadríceps/joelho - proposta 073","musculacao","rings support","Musculação > Ginásio > Halteres","quadríceps/joelho","rings","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"medicine ball core - isquiotibiais/joelho - proposta 074","musculacao","medicine ball core","Musculação > Casa > Peso corporal + equipamento","isquiotibiais/joelho","medicine_ball","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"sandbag carry - glúteos/anca - proposta 075","musculacao","sandbag carry","Musculação > Funcional > Carga externa","glúteos/anca","sandbag","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"leg press - dorsais/escápulas - proposta 076","musculacao","leg press","Musculação > Ginásio > Máquinas","dorsais/escápulas","leg_press","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"leg extension - peitoral/ombro - proposta 077","musculacao","leg extension","Musculação > Ginásio > Cabos","peitoral/ombro","leg_extension","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"leg curl - deltoides/ombro - proposta 078","musculacao","leg curl","Musculação > Ginásio > Halteres","deltoides/ombro","leg_curl","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"smith machine squat - core/coluna - proposta 079","musculacao","smith machine squat","Musculação > Casa > Peso corporal + equipamento","core/coluna","smith_machine","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"lat pulldown - antebraço/pegada - proposta 080","musculacao","lat pulldown","Musculação > Funcional > Carga externa","antebraço/pegada","lat_pulldown","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"cable row - quadríceps/joelho - proposta 081","musculacao","cable row","Musculação > Ginásio > Máquinas","quadríceps/joelho","cable_machine","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"bench press variation - isquiotibiais/joelho - proposta 082","musculacao","bench press variation","Musculação > Ginásio > Cabos","isquiotibiais/joelho","bench","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"dumbbell unilateral - glúteos/anca - proposta 083","musculacao","dumbbell unilateral","Musculação > Ginásio > Halteres","glúteos/anca","dumbbells","parque","melhora escolha progressiva para iniciantes","menu de força","P1","medio","essencial","nao","v0.9.9B"
"barbell hinge - dorsais/escápulas - proposta 084","musculacao","barbell hinge","Musculação > Casa > Peso corporal + equipamento","dorsais/escápulas","barbell","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"pull up progression - peitoral/ombro - proposta 085","musculacao","pull up progression","Musculação > Funcional > Carga externa","peitoral/ombro","pull_up_bar","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"ab wheel - deltoides/ombro - proposta 086","musculacao","ab wheel","Musculação > Ginásio > Máquinas","deltoides/ombro","ab_wheel","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"trx row - core/coluna - proposta 087","musculacao","trx row","Musculação > Ginásio > Cabos","core/coluna","trx","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"rings support - antebraço/pegada - proposta 088","musculacao","rings support","Musculação > Ginásio > Halteres","antebraço/pegada","rings","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"medicine ball core - quadríceps/joelho - proposta 089","musculacao","medicine ball core","Musculação > Casa > Peso corporal + equipamento","quadríceps/joelho","medicine_ball","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"sandbag carry - isquiotibiais/joelho - proposta 090","musculacao","sandbag carry","Musculação > Funcional > Carga externa","isquiotibiais/joelho","sandbag","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"leg press - glúteos/anca - proposta 091","musculacao","leg press","Musculação > Ginásio > Máquinas","glúteos/anca","leg_press","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"leg extension - dorsais/escápulas - proposta 092","musculacao","leg extension","Musculação > Ginásio > Cabos","dorsais/escápulas","leg_extension","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P1","baixo","essencial","nao","v0.9.9B"
"leg curl - peitoral/ombro - proposta 093","musculacao","leg curl","Musculação > Ginásio > Halteres","peitoral/ombro","leg_curl","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P1","baixo","essencial","nao","v0.9.9B"
"smith machine squat - deltoides/ombro - proposta 094","musculacao","smith machine squat","Musculação > Casa > Peso corporal + equipamento","deltoides/ombro","smith_machine","casa","reduz lacuna de grupo muscular visível","grupo muscular","P1","baixo","essencial","nao","v0.9.9B"
"lat pulldown - core/coluna - proposta 095","musculacao","lat pulldown","Musculação > Funcional > Carga externa","core/coluna","lat_pulldown","parque","melhora escolha progressiva para iniciantes","menu de força","P1","baixo","essencial","nao","v0.9.9B"
"cable row - antebraço/pegada - proposta 096","musculacao","cable row","Musculação > Ginásio > Máquinas","antebraço/pegada","cable_machine","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P2","baixo","expansao_futura","nao","v1.0_backlog"
"bench press variation - quadríceps/joelho - proposta 097","musculacao","bench press variation","Musculação > Ginásio > Cabos","quadríceps/joelho","bench","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P2","baixo","expansao_futura","nao","v1.0_backlog"
"dumbbell unilateral - isquiotibiais/joelho - proposta 098","musculacao","dumbbell unilateral","Musculação > Ginásio > Halteres","isquiotibiais/joelho","dumbbells","casa","reduz lacuna de grupo muscular visível","grupo muscular","P2","medio","expansao_futura","nao","v1.0_backlog"
"barbell hinge - glúteos/anca - proposta 099","musculacao","barbell hinge","Musculação > Casa > Peso corporal + equipamento","glúteos/anca","barbell","parque","melhora escolha progressiva para iniciantes","menu de força","P2","baixo","expansao_futura","nao","v1.0_backlog"
"pull up progression - dorsais/escápulas - proposta 100","musculacao","pull up progression","Musculação > Funcional > Carga externa","dorsais/escápulas","pull_up_bar","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P2","baixo","expansao_futura","nao","v1.0_backlog"
"ab wheel - peitoral/ombro - proposta 101","musculacao","ab wheel","Musculação > Ginásio > Máquinas","peitoral/ombro","ab_wheel","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P2","baixo","expansao_futura","nao","v1.0_backlog"
"trx row - deltoides/ombro - proposta 102","musculacao","trx row","Musculação > Ginásio > Cabos","deltoides/ombro","trx","casa","reduz lacuna de grupo muscular visível","grupo muscular","P2","baixo","expansao_futura","nao","v1.0_backlog"
"rings support - core/coluna - proposta 103","musculacao","rings support","Musculação > Ginásio > Halteres","core/coluna","rings","parque","melhora escolha progressiva para iniciantes","menu de força","P2","baixo","expansao_futura","nao","v1.0_backlog"
"medicine ball core - antebraço/pegada - proposta 104","musculacao","medicine ball core","Musculação > Casa > Peso corporal + equipamento","antebraço/pegada","medicine_ball","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P2","baixo","expansao_futura","nao","v1.0_backlog"
"sandbag carry - quadríceps/joelho - proposta 105","musculacao","sandbag carry","Musculação > Funcional > Carga externa","quadríceps/joelho","sandbag","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P2","baixo","expansao_futura","nao","v1.0_backlog"
"leg press - isquiotibiais/joelho - proposta 106","musculacao","leg press","Musculação > Ginásio > Máquinas","isquiotibiais/joelho","leg_press","casa","reduz lacuna de grupo muscular visível","grupo muscular","P2","baixo","expansao_futura","nao","v1.0_backlog"
"leg extension - glúteos/anca - proposta 107","musculacao","leg extension","Musculação > Ginásio > Cabos","glúteos/anca","leg_extension","parque","melhora escolha progressiva para iniciantes","menu de força","P2","baixo","expansao_futura","nao","v1.0_backlog"
"leg curl - dorsais/escápulas - proposta 108","musculacao","leg curl","Musculação > Ginásio > Halteres","dorsais/escápulas","leg_curl","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P2","baixo","expansao_futura","nao","v1.0_backlog"
"smith machine squat - peitoral/ombro - proposta 109","musculacao","smith machine squat","Musculação > Casa > Peso corporal + equipamento","peitoral/ombro","smith_machine","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P2","baixo","expansao_futura","nao","v1.0_backlog"
"lat pulldown - deltoides/ombro - proposta 110","musculacao","lat pulldown","Musculação > Funcional > Carga externa","deltoides/ombro","lat_pulldown","casa","reduz lacuna de grupo muscular visível","grupo muscular","P2","baixo","expansao_futura","nao","v1.0_backlog"
"cable row - core/coluna - proposta 111","musculacao","cable row","Musculação > Ginásio > Máquinas","core/coluna","cable_machine","parque","melhora escolha progressiva para iniciantes","menu de força","P2","baixo","expansao_futura","nao","v1.0_backlog"
"bench press variation - antebraço/pegada - proposta 112","musculacao","bench press variation","Musculação > Ginásio > Cabos","antebraço/pegada","bench","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P2","baixo","expansao_futura","nao","v1.0_backlog"
"dumbbell unilateral - quadríceps/joelho - proposta 113","musculacao","dumbbell unilateral","Musculação > Ginásio > Halteres","quadríceps/joelho","dumbbells","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P2","medio","expansao_futura","nao","v1.0_backlog"
"passadeira técnica - cardiorrespiratório/joelho - proposta 001","cardio","passadeira técnica","Cardio > Ginásio","cardiorrespiratório/joelho","treadmill","ginásio","fecha lacunas de equipamento ativo","equipamento cardio","P0","baixo","essencial","nao","v0.9.9B"
"bicicleta ritmo controlado - cardiorrespiratório/anca - proposta 002","cardio","bicicleta ritmo controlado","Cardio > Casa","cardiorrespiratório/anca","stationary_bike","casa","cria alternativa de baixa intensidade","nível iniciante","P0","baixo","essencial","nao","v0.9.9B"
"elíptica base - cardiorrespiratório/tornozelo - proposta 003","cardio","elíptica base","Cardio > Outdoor","cardiorrespiratório/tornozelo","elliptical","exterior","melhora cobertura de cardio não-HIIT","baixo impacto","P0","baixo","essencial","nao","v0.9.9B"
"remo ergómetro - cardiorrespiratório/joelho - proposta 004","cardio","remo ergómetro","Cardio > Ginásio","cardiorrespiratório/joelho","rowing_machine","ginásio","fecha lacunas de equipamento ativo","equipamento cardio","P0","baixo","essencial","nao","v0.9.9B"
