"exercise_name","canonical_id_proposed","category","subcategory","menu_route","equipment","location","primary_muscle","secondary_muscles","joint","goal","priority","reason_to_add","coverage_gap","existing_similar_exercise","duplicate_risk","implementation_decision"
"Puxada alta a frente em tempo lento","puxada_alta_a_frente_em_tempo_lento","musculacao","costas","Musculacao > Ginasio > costas","Lat pulldown","ginasio","grande dorsal","biceps; redondo maior; trapezio medio e inferior","ombro; cotovelo; escapula","aumentar tempo sob tensao na puxada alta","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Puxada alta com pegada neutra","puxada_alta_com_pegada_neutra","musculacao","costas","Musculacao > Ginasio > costas","Lat pulldown com pega neutra","ginasio","grande dorsal","biceps; redondo maior; trapezio medio e inferior","ombro; cotovelo; escapula","treinar dorsais com pega neutra","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Puxada alta com pegada neutra controlado","puxada_alta_com_pegada_neutra_controlado","musculacao","costas","Musculacao > Ginasio > costas","Lat pulldown com pega neutra","ginasio","grande dorsal","biceps; redondo maior; trapezio medio e inferior","ombro; cotovelo; escapula","controlar a puxada neutra sem compensar tronco","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Puxada alta com pegada neutra com pausa","puxada_alta_com_pegada_neutra_com_pausa","musculacao","costas","Musculacao > Ginasio > costas","Lat pulldown com pega neutra","ginasio","grande dorsal","biceps; redondo maior; trapezio medio e inferior","ombro; cotovelo; escapula","pausar a puxada neutra com escapulas controladas","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Puxada alta com pegada neutra em tempo lento","puxada_alta_com_pegada_neutra_em_tempo_lento","musculacao","costas","Musculacao > Ginasio > costas","Lat pulldown com pega neutra","ginasio","grande dorsal","biceps; redondo maior; trapezio medio e inferior","ombro; cotovelo; escapula","aumentar controlo na puxada neutra","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Remada sentada no cabo","remada_sentada_no_cabo","musculacao","costas","Musculacao > Ginasio > costas","Cabo / polia baixa","ginasio","costas medias e dorsais","biceps; romboides; trapezio medio","ombro; cotovelo; escapula","treinar remada horizontal no cabo","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Remada sentada no cabo controlado","remada_sentada_no_cabo_controlado","musculacao","costas","Musculacao > Ginasio > costas","Cabo / polia baixa","ginasio","costas medias e dorsais","biceps; romboides; trapezio medio","ombro; cotovelo; escapula","controlar a remada sentada sem balanco","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Remada sentada no cabo com pausa","remada_sentada_no_cabo_com_pausa","musculacao","costas","Musculacao > Ginasio > costas","Cabo / polia baixa","ginasio","costas medias e dorsais","biceps; romboides; trapezio medio","ombro; cotovelo; escapula","pausar a remada com escapulas aproximadas","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Remada sentada no cabo em tempo lento","remada_sentada_no_cabo_em_tempo_lento","musculacao","costas","Musculacao > Ginasio > costas","Cabo / polia baixa","ginasio","costas medias e dorsais","biceps; romboides; trapezio medio","ombro; cotovelo; escapula","aumentar tempo sob tensao na remada sentada","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Remada baixa unilateral","remada_baixa_unilateral","musculacao","costas","Musculacao > Ginasio > costas","Cabo / polia baixa","ginasio","costas medias e dorsais","biceps; romboides; core anti-rotacao","ombro; cotovelo; escapula","treinar remada unilateral com cabo","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Remada baixa unilateral controlado","remada_baixa_unilateral_controlado","musculacao","costas","Musculacao > Ginasio > costas","Cabo / polia baixa","ginasio","costas medias e dorsais","biceps; romboides; core anti-rotacao","ombro; cotovelo; escapula","controlar remada unilateral sem rodar tronco","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Remada baixa unilateral com pausa","remada_baixa_unilateral_com_pausa","musculacao","costas","Musculacao > Ginasio > costas","Cabo / polia baixa","ginasio","costas medias e dorsais","biceps; romboides; core anti-rotacao","ombro; cotovelo; escapula","pausar a remada unilateral com tronco estavel","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Remada baixa unilateral em tempo lento","remada_baixa_unilateral_em_tempo_lento","musculacao","costas","Musculacao > Ginasio > costas","Cabo / polia baixa","ginasio","costas medias e dorsais","biceps; romboides; core anti-rotacao","ombro; cotovelo; escapula","aumentar controlo na remada unilateral","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Press de ombro com halteres","press_de_ombro_com_halteres","musculacao","ombros","Musculacao > Ginasio > ombros","Halteres","ginasio","deltoides","triceps; trapezio superior; core estabilizador","ombro; cotovelo; escapula","desenvolver press vertical com halteres","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Press de ombro com halteres controlado","press_de_ombro_com_halteres_controlado","musculacao","ombros","Musculacao > Ginasio > ombros","Halteres","ginasio","deltoides","triceps; trapezio superior; core estabilizador","ombro; cotovelo; escapula","controlar press vertical sem arquear lombar","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Press de ombro com halteres com pausa","press_de_ombro_com_halteres_com_pausa","musculacao","ombros","Musculacao > Ginasio > ombros","Halteres","ginasio","deltoides","triceps; trapezio superior; core estabilizador","ombro; cotovelo; escapula","pausar o press de ombro com halteres","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Press de ombro com halteres em tempo lento","press_de_ombro_com_halteres_em_tempo_lento","musculacao","ombros","Musculacao > Ginasio > ombros","Halteres","ginasio","deltoides","triceps; trapezio superior; core estabilizador","ombro; cotovelo; escapula","aumentar controlo no press de ombro","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Press na Smith machine","press_na_smith_machine","musculacao","ombros","Musculacao > Ginasio > ombros","Smith machine","ginasio","deltoides","triceps; trapezio superior; core estabilizador","ombro; cotovelo; escapula","treinar press vertical guiado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Press na Smith machine controlado","press_na_smith_machine_controlado","musculacao","ombros","Musculacao > Ginasio > ombros","Smith machine","ginasio","deltoides","triceps; trapezio superior; core estabilizador","ombro; cotovelo; escapula","controlar press guiado na Smith machine","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Press na Smith machine com pausa","press_na_smith_machine_com_pausa","musculacao","ombros","Musculacao > Ginasio > ombros","Smith machine","ginasio","deltoides","triceps; trapezio superior; core estabilizador","ombro; cotovelo; escapula","pausar press guiado com ombros organizados","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Press na Smith machine em tempo lento","press_na_smith_machine_em_tempo_lento","musculacao","ombros","Musculacao > Ginasio > ombros","Smith machine","ginasio","deltoides","triceps; trapezio superior; core estabilizador","ombro; cotovelo; escapula","aumentar controlo no press guiado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg press 45 graus","leg_press_45_graus","musculacao","pernas","Musculacao > Ginasio > pernas","Leg press 45 graus","ginasio","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","treinar empurrar de pernas no leg press 45 graus","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg press 45 graus controlado","leg_press_45_graus_controlado","musculacao","pernas","Musculacao > Ginasio > pernas","Leg press 45 graus","ginasio","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","controlar amplitude no leg press 45 graus","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg press 45 graus com pausa","leg_press_45_graus_com_pausa","musculacao","pernas","Musculacao > Ginasio > pernas","Leg press 45 graus","ginasio","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","pausar leg press sem perder joelhos alinhados","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg press 45 graus em tempo lento","leg_press_45_graus_em_tempo_lento","musculacao","pernas","Musculacao > Ginasio > pernas","Leg press 45 graus","ginasio","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","aumentar controlo no leg press 45 graus","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg press horizontal","leg_press_horizontal","musculacao","pernas","Musculacao > Ginasio > pernas","Leg press horizontal","ginasio","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","treinar empurrar de pernas no leg press horizontal","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg press horizontal controlado","leg_press_horizontal_controlado","musculacao","pernas","Musculacao > Ginasio > pernas","Leg press horizontal","ginasio","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","controlar amplitude no leg press horizontal","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg press horizontal com pausa","leg_press_horizontal_com_pausa","musculacao","pernas","Musculacao > Ginasio > pernas","Leg press horizontal","ginasio","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","pausar leg press horizontal sem perder postura","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg press horizontal em tempo lento","leg_press_horizontal_em_tempo_lento","musculacao","pernas","Musculacao > Ginasio > pernas","Leg press horizontal","ginasio","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","aumentar controlo no leg press horizontal","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Extensao de pernas na maquina","extensao_de_pernas_na_maquina","musculacao","pernas","Musculacao > Ginasio > pernas","Extensao de pernas na maquina","ginasio","quadriceps","core leve","joelho","isolar quadriceps na maquina de extensao","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Extensao de pernas na maquina controlado","extensao_de_pernas_na_maquina_controlado","musculacao","pernas","Musculacao > Ginasio > pernas","Extensao de pernas na maquina","ginasio","quadriceps","core leve","joelho","controlar extensao de joelho na maquina","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Extensao de pernas na maquina com pausa","extensao_de_pernas_na_maquina_com_pausa","musculacao","pernas","Musculacao > Ginasio > pernas","Extensao de pernas na maquina","ginasio","quadriceps","core leve","joelho","pausar extensao de pernas no topo com controlo","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Extensao de pernas na maquina em tempo lento","extensao_de_pernas_na_maquina_em_tempo_lento","musculacao","pernas","Musculacao > Ginasio > pernas","Extensao de pernas na maquina","ginasio","quadriceps","core leve","joelho","aumentar tempo sob tensao na extensao de pernas","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Extensao de pernas unilateral","extensao_de_pernas_unilateral","musculacao","pernas","Musculacao > Ginasio > pernas","Extensao de pernas na maquina","ginasio","quadriceps","core leve","joelho","treinar quadriceps de forma unilateral","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Extensao de pernas unilateral controlado","extensao_de_pernas_unilateral_controlado","musculacao","pernas","Musculacao > Ginasio > pernas","Extensao de pernas na maquina","ginasio","quadriceps","core leve","joelho","controlar extensao unilateral de joelho","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Extensao de pernas unilateral com pausa","extensao_de_pernas_unilateral_com_pausa","musculacao","pernas","Musculacao > Ginasio > pernas","Extensao de pernas na maquina","ginasio","quadriceps","core leve","joelho","pausar extensao unilateral com controlo","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Extensao de pernas unilateral em tempo lento","extensao_de_pernas_unilateral_em_tempo_lento","musculacao","pernas","Musculacao > Ginasio > pernas","Extensao de pernas na maquina","ginasio","quadriceps","core leve","joelho","aumentar controlo na extensao unilateral","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg curl sentado","leg_curl_sentado","musculacao","pernas","Musculacao > Ginasio > pernas","Leg curl sentado","ginasio","isquiotibiais","gemeos; gluteos estabilizadores","joelho","treinar flexao do joelho sentado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg curl sentado controlado","leg_curl_sentado_controlado","musculacao","pernas","Musculacao > Ginasio > pernas","Leg curl sentado","ginasio","isquiotibiais","gemeos; gluteos estabilizadores","joelho","controlar leg curl sentado sem embalar","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg curl sentado com pausa","leg_curl_sentado_com_pausa","musculacao","pernas","Musculacao > Ginasio > pernas","Leg curl sentado","ginasio","isquiotibiais","gemeos; gluteos estabilizadores","joelho","pausar flexao do joelho no leg curl sentado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg curl sentado em tempo lento","leg_curl_sentado_em_tempo_lento","musculacao","pernas","Musculacao > Ginasio > pernas","Leg curl sentado","ginasio","isquiotibiais","gemeos; gluteos estabilizadores","joelho","aumentar controlo no leg curl sentado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg curl deitado","leg_curl_deitado","musculacao","pernas","Musculacao > Ginasio > pernas","Leg curl deitado","ginasio","isquiotibiais","gemeos; gluteos estabilizadores","joelho","treinar flexao do joelho deitado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg curl deitado controlado","leg_curl_deitado_controlado","musculacao","pernas","Musculacao > Ginasio > pernas","Leg curl deitado","ginasio","isquiotibiais","gemeos; gluteos estabilizadores","joelho","controlar leg curl deitado sem levantar anca","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg curl deitado com pausa","leg_curl_deitado_com_pausa","musculacao","pernas","Musculacao > Ginasio > pernas","Leg curl deitado","ginasio","isquiotibiais","gemeos; gluteos estabilizadores","joelho","pausar flexao do joelho no leg curl deitado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Leg curl deitado em tempo lento","leg_curl_deitado_em_tempo_lento","musculacao","pernas","Musculacao > Ginasio > pernas","Leg curl deitado","ginasio","isquiotibiais","gemeos; gluteos estabilizadores","joelho","aumentar controlo no leg curl deitado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Ab wheel a partir dos joelhos","ab_wheel_a_partir_dos_joelhos","musculacao","core","Musculacao > Ginasio > core","Ab wheel e tapete","ginasio","core anterior","serratil; ombros; grande dorsal estabilizador","coluna; ombro","treinar anti-extensao do core com roda abdominal","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Ab wheel a partir dos joelhos regressivo","ab_wheel_a_partir_dos_joelhos_regressivo","musculacao","core","Musculacao > Ginasio > core","Ab wheel e tapete","ginasio","core anterior","serratil; ombros; grande dorsal estabilizador","coluna; ombro","usar uma versao mais curta do ab wheel","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Ab wheel a partir dos joelhos com pausa curta","ab_wheel_a_partir_dos_joelhos_com_pausa_curta","musculacao","core","Musculacao > Ginasio > core","Ab wheel e tapete","ginasio","core anterior","serratil; ombros; grande dorsal estabilizador","coluna; ombro","pausar ab wheel mantendo lombar neutra","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Ab wheel a partir dos joelhos em ritmo lento","ab_wheel_a_partir_dos_joelhos_em_ritmo_lento","musculacao","core","Musculacao > Ginasio > core","Ab wheel e tapete","ginasio","core anterior","serratil; ombros; grande dorsal estabilizador","coluna; ombro","aumentar controlo no ab wheel","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Farmer walk com halteres","farmer_walk_com_halteres","musculacao","antebraco_pega","Musculacao > Ginasio > antebraco_pega","Halteres e espaco livre","ginasio","flexores do antebraco","trapezio; core lateral; gluteos estabilizadores","punho; ombro; coluna","treinar pega e transporte carregado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Farmer walk com halteres regressivo","farmer_walk_com_halteres_regressivo","musculacao","antebraco_pega","Musculacao > Ginasio > antebraco_pega","Halteres e espaco livre","ginasio","flexores do antebraco","trapezio; core lateral; gluteos estabilizadores","punho; ombro; coluna","usar carga e distancia reduzidas no farmer walk","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Farmer walk com halteres com pausa curta","farmer_walk_com_halteres_com_pausa_curta","musculacao","antebraco_pega","Musculacao > Ginasio > antebraco_pega","Halteres e espaco livre","ginasio","flexores do antebraco","trapezio; core lateral; gluteos estabilizadores","punho; ombro; coluna","pausar farmer walk sem perder postura","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Farmer walk com halteres em ritmo lento","farmer_walk_com_halteres_em_ritmo_lento","musculacao","antebraco_pega","Musculacao > Ginasio > antebraco_pega","Halteres e espaco livre","ginasio","flexores do antebraco","trapezio; core lateral; gluteos estabilizadores","punho; ombro; coluna","controlar passos e pega no farmer walk","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
