"name","canonical_id","category","subcategory","context","equipment","primary_muscle","secondary_muscles","joint","objective","priority","duplicate_risk","quality"
"Curl no cabo baixo em tempo lento","curl_no_cabo_baixo_em_tempo_lento","musculacao","biceps","biceps","Cabo baixo","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho; ombro","aumentar controlo no curl no cabo baixo","B3","baixo","A/B"
"Static hold com halteres","static_hold_com_halteres","musculacao","antebraco_pegada","antebraco_pega","Halteres","flexores do antebraco","trapezio; core; dedos","punho; cotovelo; ombro","treinar resistencia de pegada em posicao estatica","B3","baixo","A/B"
"Static hold com halteres regressivo","static_hold_com_halteres_regressivo","musculacao","antebraco_pegada","antebraco_pega","Halteres","flexores do antebraco","trapezio; core; dedos","punho; cotovelo; ombro","reduzir carga no static hold mantendo pegada limpa","B3","baixo","A/B"
"Static hold com halteres com pausa curta","static_hold_com_halteres_com_pausa_curta","musculacao","antebraco_pegada","antebraco_pega","Halteres","flexores do antebraco","trapezio; core; dedos","punho; cotovelo; ombro","pausar static hold com postura alta","B3","baixo","A/B"
"Static hold com halteres em ritmo lento","static_hold_com_halteres_em_ritmo_lento","musculacao","antebraco_pegada","antebraco_pega","Halteres","flexores do antebraco","trapezio; core; dedos","punho; cotovelo; ombro","prolongar static hold sem perder ombros","B3","baixo","A/B"
"Pallof press no cabo","pallof_press_no_cabo","musculacao","core","core","Cabo baixo","core anterior","obliquos; transverso abdominal; gluteos","coluna; anca; ombro","treinar anti-rotacao com tensao do cabo","B3","baixo","A/B"
"Dead bug com medicine ball","dead_bug_com_medicine_ball","musculacao","core","core","Bola medicinal e tapete","core anterior","transverso abdominal; flexores da anca; ombros","coluna; anca; ombro","controlar dead bug segurando bola medicinal leve","B3","baixo","A/B"
"Hip thrust com barra em tempo lento","hip_thrust_com_barra_em_tempo_lento","musculacao","gluteos","gluteos","Barra e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","aumentar controlo no hip thrust com barra","B3","baixo","A/B"
"Hip thrust na Smith machine","hip_thrust_na_smith_machine","musculacao","gluteos","gluteos","Smith machine e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","treinar extensao da anca guiada na Smith machine","B3","baixo","A/B"
"Hip thrust na Smith machine controlado","hip_thrust_na_smith_machine_controlado","musculacao","gluteos","gluteos","Smith machine e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","controlar hip thrust guiado sem arquear lombar","B3","baixo","A/B"
"Hip thrust na Smith machine com pausa","hip_thrust_na_smith_machine_com_pausa","musculacao","gluteos","gluteos","Smith machine e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","pausar no topo do hip thrust na Smith machine","B3","baixo","A/B"
"Hip thrust na Smith machine em tempo lento","hip_thrust_na_smith_machine_em_tempo_lento","musculacao","gluteos","gluteos","Smith machine e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","aumentar controlo no hip thrust guiado","B3","baixo","A/B"
"Glute bridge com barra","glute_bridge_com_barra","musculacao","gluteos","gluteos","Barra e tapete","gluteo maximo","gluteo medio; isquiotibiais; core","anca; joelho; coluna","treinar extensao da anca a partir do chao","B3","baixo","A/B"
"Glute bridge com barra controlado","glute_bridge_com_barra_controlado","musculacao","gluteos","gluteos","Barra e tapete","gluteo maximo","gluteo medio; isquiotibiais; core","anca; joelho; coluna","controlar glute bridge com barra sem compensar lombar","B3","baixo","A/B"
"Glute bridge com barra com pausa","glute_bridge_com_barra_com_pausa","musculacao","gluteos","gluteos","Barra e tapete","gluteo maximo","gluteo medio; isquiotibiais; core","anca; joelho; coluna","pausar glute bridge no topo com costelas baixas","B3","baixo","A/B"
"Glute bridge com barra em tempo lento","glute_bridge_com_barra_em_tempo_lento","musculacao","gluteos","gluteos","Barra e tapete","gluteo maximo","gluteo medio; isquiotibiais; core","anca; joelho; coluna","aumentar controlo no glute bridge com barra","B3","baixo","A/B"
"Kickback de gluteo no cabo","kickback_de_gluteo_no_cabo","musculacao","gluteos","gluteos","Cabo baixo e tornozeleira","gluteo maximo","gluteo medio; isquiotibiais; core","anca; coluna","treinar extensao da anca no cabo sem balanco","B3","baixo","A/B"
"Kickback de gluteo no cabo controlado","kickback_de_gluteo_no_cabo_controlado","musculacao","gluteos","gluteos","Cabo baixo e tornozeleira","gluteo maximo","gluteo medio; isquiotibiais; core","anca; coluna","controlar kickback no cabo com pelvis estavel","B3","baixo","A/B"
"Kickback de gluteo no cabo com pausa","kickback_de_gluteo_no_cabo_com_pausa","musculacao","gluteos","gluteos","Cabo baixo e tornozeleira","gluteo maximo","gluteo medio; isquiotibiais; core","anca; coluna","pausar kickback no cabo no fim da extensao","B3","baixo","A/B"
"Kickback de gluteo no cabo em tempo lento","kickback_de_gluteo_no_cabo_em_tempo_lento","musculacao","gluteos","gluteos","Cabo baixo e tornozeleira","gluteo maximo","gluteo medio; isquiotibiais; core","anca; coluna","aumentar controlo no kickback no cabo","B3","baixo","A/B"
"Leg press unilateral","leg_press_unilateral","musculacao","quadriceps","pernas","Leg press","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","treinar empurrar unilateral no leg press","B3","baixo","A/B"
"Leg press unilateral controlado","leg_press_unilateral_controlado","musculacao","quadriceps","pernas","Leg press","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","controlar leg press unilateral com joelho alinhado","B3","baixo","A/B"
"Leg press unilateral com pausa","leg_press_unilateral_com_pausa","musculacao","quadriceps","pernas","Leg press","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","pausar leg press unilateral em amplitude segura","B3","baixo","A/B"
"Leg press unilateral em tempo lento","leg_press_unilateral_em_tempo_lento","musculacao","quadriceps","pernas","Leg press","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","aumentar controlo no leg press unilateral","B3","baixo","A/B"
"Leg curl unilateral","leg_curl_unilateral","musculacao","isquiotibiais","pernas","Leg curl","isquiotibiais","gemeos; core leve","joelho","treinar flexao do joelho unilateral","B3","baixo","A/B"
"Leg curl unilateral controlado","leg_curl_unilateral_controlado","musculacao","isquiotibiais","pernas","Leg curl","isquiotibiais","gemeos; core leve","joelho","controlar leg curl unilateral sem levantar anca","B3","baixo","A/B"
"Leg curl unilateral com pausa","leg_curl_unilateral_com_pausa","musculacao","isquiotibiais","pernas","Leg curl","isquiotibiais","gemeos; core leve","joelho","pausar leg curl unilateral com joelho estavel","B3","baixo","A/B"
"Leg curl unilateral em tempo lento","leg_curl_unilateral_em_tempo_lento","musculacao","isquiotibiais","pernas","Leg curl","isquiotibiais","gemeos; core leve","joelho","aumentar controlo no leg curl unilateral","B3","baixo","A/B"
"Peso morto romeno com barra","peso_morto_romeno_com_barra","musculacao","isquiotibiais","pernas","Barra","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","treinar hinge de anca com barra","B3","baixo","A/B"
"Peso morto romeno com barra controlado","peso_morto_romeno_com_barra_controlado","musculacao","isquiotibiais","pernas","Barra","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","controlar hinge com barra sem arredondar lombar","B3","baixo","A/B"
"Peso morto romeno com barra com pausa","peso_morto_romeno_com_barra_com_pausa","musculacao","isquiotibiais","pernas","Barra","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","pausar peso morto romeno na posicao baixa segura","B3","baixo","A/B"
"Peso morto romeno com barra em tempo lento","peso_morto_romeno_com_barra_em_tempo_lento","musculacao","isquiotibiais","pernas","Barra","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","aumentar controlo no peso morto romeno com barra","B3","baixo","A/B"
"Peso morto romeno com halteres","peso_morto_romeno_com_halteres","musculacao","isquiotibiais","pernas","Halteres","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","treinar hinge de anca com halteres","B3","baixo","A/B"
"Peso morto romeno com halteres controlado","peso_morto_romeno_com_halteres_controlado","musculacao","isquiotibiais","pernas","Halteres","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","controlar hinge com halteres sem perder coluna neutra","B3","baixo","A/B"
"Peso morto romeno com halteres com pausa","peso_morto_romeno_com_halteres_com_pausa","musculacao","isquiotibiais","pernas","Halteres","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","pausar peso morto romeno com halteres no fundo seguro","B3","baixo","A/B"
"Peso morto romeno com halteres em tempo lento","peso_morto_romeno_com_halteres_em_tempo_lento","musculacao","isquiotibiais","pernas","Halteres","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","aumentar controlo no peso morto romeno com halteres","B3","baixo","A/B"
"Maquina adutora","maquina_adutora","musculacao","adutores","pernas","Maquina adutora","adutores da anca","core leve; gluteos estabilizadores","anca","treinar aducao da anca guiada","B3","baixo","A/B"
"Maquina adutora regressivo","maquina_adutora_regressivo","musculacao","adutores","pernas","Maquina adutora","adutores da anca","core leve; gluteos estabilizadores","anca","reduzir amplitude na maquina adutora mantendo controlo","B3","baixo","A/B"
"Maquina adutora com pausa curta","maquina_adutora_com_pausa_curta","musculacao","adutores","pernas","Maquina adutora","adutores da anca","core leve; gluteos estabilizadores","anca","pausar a aducao guiada sem forca maxima","B3","baixo","A/B"
"Maquina adutora em ritmo lento","maquina_adutora_em_ritmo_lento","musculacao","adutores","pernas","Maquina adutora","adutores da anca","core leve; gluteos estabilizadores","anca","aumentar controlo na maquina adutora","B3","baixo","A/B"
"Aducao de anca no cabo","aducao_de_anca_no_cabo","musculacao","adutores","pernas","Cabo baixo e tornozeleira","adutores da anca","core; gluteos estabilizadores","anca","treinar aducao da anca no cabo","B3","baixo","A/B"
"Aducao de anca no cabo regressivo","aducao_de_anca_no_cabo_regressivo","musculacao","adutores","pernas","Cabo baixo e tornozeleira","adutores da anca","core; gluteos estabilizadores","anca","reduzir amplitude na aducao de anca no cabo","B3","baixo","A/B"
"Aducao de anca no cabo com pausa curta","aducao_de_anca_no_cabo_com_pausa_curta","musculacao","adutores","pernas","Cabo baixo e tornozeleira","adutores da anca","core; gluteos estabilizadores","anca","pausar aducao de anca no cabo com pelvis estavel","B3","baixo","A/B"
"Aducao de anca no cabo em ritmo lento","aducao_de_anca_no_cabo_em_ritmo_lento","musculacao","adutores","pernas","Cabo baixo e tornozeleira","adutores da anca","core; gluteos estabilizadores","anca","aumentar controlo na aducao de anca no cabo","B3","baixo","A/B"
"Maquina abdutora","maquina_abdutora","musculacao","abdutores","pernas","Maquina abdutora","abdutores da anca","gluteo medio; gluteo minimo; core leve","anca","treinar abducao da anca guiada","B3","baixo","A/B"
"Maquina abdutora regressivo","maquina_abdutora_regressivo","musculacao","abdutores","pernas","Maquina abdutora","abdutores da anca","gluteo medio; gluteo minimo; core leve","anca","reduzir amplitude na maquina abdutora mantendo controlo","B3","baixo","A/B"
"Maquina abdutora com pausa curta","maquina_abdutora_com_pausa_curta","musculacao","abdutores","pernas","Maquina abdutora","abdutores da anca","gluteo medio; gluteo minimo; core leve","anca","pausar abducao guiada com pelvis estavel","B3","baixo","A/B"
"Maquina abdutora em ritmo lento","maquina_abdutora_em_ritmo_lento","musculacao","abdutores","pernas","Maquina abdutora","abdutores da anca","gluteo medio; gluteo minimo; core leve","anca","aumentar controlo na maquina abdutora","B3","baixo","A/B"
"Abducao de anca no cabo","abducao_de_anca_no_cabo","musculacao","abdutores","pernas","Cabo baixo e tornozeleira","abdutores da anca","gluteo medio; gluteo minimo; core","anca","treinar abducao da anca no cabo","B3","baixo","A/B"
"Abducao de anca no cabo regressivo","abducao_de_anca_no_cabo_regressivo","musculacao","abdutores","pernas","Cabo baixo e tornozeleira","abdutores da anca","gluteo medio; gluteo minimo; core","anca","reduzir amplitude na abducao de anca no cabo","B3","baixo","A/B"
"Abducao de anca no cabo com pausa curta","abducao_de_anca_no_cabo_com_pausa_curta","musculacao","abdutores","pernas","Cabo baixo e tornozeleira","abdutores da anca","gluteo medio; gluteo minimo; core","anca","pausar abducao de anca no cabo com pelvis estavel","B3","baixo","A/B"
"Abducao de anca no cabo em ritmo lento","abducao_de_anca_no_cabo_em_ritmo_lento","musculacao","abdutores","pernas","Cabo baixo e tornozeleira","abdutores da anca","gluteo medio; gluteo minimo; core","anca","aumentar controlo na abducao de anca no cabo","B3","baixo","A/B"
