"name","canonical_id","category","subcategory","context","equipment","primary_muscle","secondary_muscles","joint","objective","source","priority","duplicate_risk","quality"
"Static hold com halteres regressivo","static_hold_com_halteres_regressivo","musculacao","antebraco_pegada","antebraco_pega","Halteres","flexores do antebraco","trapezio; core; dedos","punho; cotovelo; ombro","reduzir carga no static hold mantendo pegada limpa","GOOD_V1_B3","B3","baixo","A/B"
"Static hold com halteres com pausa curta","static_hold_com_halteres_com_pausa_curta","musculacao","antebraco_pegada","antebraco_pega","Halteres","flexores do antebraco","trapezio; core; dedos","punho; cotovelo; ombro","pausar static hold com postura alta","GOOD_V1_B3","B3","baixo","A/B"
"Static hold com halteres em ritmo lento","static_hold_com_halteres_em_ritmo_lento","musculacao","antebraco_pegada","antebraco_pega","Halteres","flexores do antebraco","trapezio; core; dedos","punho; cotovelo; ombro","prolongar static hold sem perder ombros","GOOD_V1_B3","B3","baixo","A/B"
"Pallof press no cabo","pallof_press_no_cabo","musculacao","core","core","Cabo baixo","core anterior","obliquos; transverso abdominal; gluteos","coluna; anca; ombro","treinar anti-rotacao com tensao do cabo","GOOD_V1_B3","B3","colisao deduplicada","A/B"
"Dead bug com medicine ball","dead_bug_com_medicine_ball","musculacao","core","core","Bola medicinal e tapete","core anterior","transverso abdominal; flexores da anca; ombros","coluna; anca; ombro","controlar dead bug segurando bola medicinal leve","GOOD_V1_B3","B3","baixo","A/B"
"Hip thrust com barra em tempo lento","hip_thrust_com_barra_em_tempo_lento","musculacao","gluteos","gluteos","Barra e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","aumentar controlo no hip thrust com barra","GOOD_V1_B3","B3","baixo","A/B"
"Hip thrust na Smith machine","hip_thrust_na_smith_machine","musculacao","gluteos","gluteos","Smith machine e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","treinar extensao da anca guiada na Smith machine","GOOD_V1_B3","B3","baixo","A/B"
"Hip thrust na Smith machine controlado","hip_thrust_na_smith_machine_controlado","musculacao","gluteos","gluteos","Smith machine e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","controlar hip thrust guiado sem arquear lombar","GOOD_V1_B3","B3","baixo","A/B"
"Hip thrust na Smith machine com pausa","hip_thrust_na_smith_machine_com_pausa","musculacao","gluteos","gluteos","Smith machine e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","pausar no topo do hip thrust na Smith machine","GOOD_V1_B3","B3","baixo","A/B"
"Hip thrust na Smith machine em tempo lento","hip_thrust_na_smith_machine_em_tempo_lento","musculacao","gluteos","gluteos","Smith machine e banco","gluteo maximo","gluteo medio; isquiotibiais; core; quadriceps","anca; joelho; coluna","aumentar controlo no hip thrust guiado","GOOD_V1_B3","B3","baixo","A/B"
"Glute bridge com barra","glute_bridge_com_barra","musculacao","gluteos","gluteos","Barra e tapete","gluteo maximo","gluteo medio; isquiotibiais; core","anca; joelho; coluna","treinar extensao da anca a partir do chao","GOOD_V1_B3","B3","baixo","A/B"
"Glute bridge com barra controlado","glute_bridge_com_barra_controlado","musculacao","gluteos","gluteos","Barra e tapete","gluteo maximo","gluteo medio; isquiotibiais; core","anca; joelho; coluna","controlar glute bridge com barra sem compensar lombar","GOOD_V1_B3","B3","baixo","A/B"
"Glute bridge com barra com pausa","glute_bridge_com_barra_com_pausa","musculacao","gluteos","gluteos","Barra e tapete","gluteo maximo","gluteo medio; isquiotibiais; core","anca; joelho; coluna","pausar glute bridge no topo com costelas baixas","GOOD_V1_B3","B3","baixo","A/B"
"Glute bridge com barra em tempo lento","glute_bridge_com_barra_em_tempo_lento","musculacao","gluteos","gluteos","Barra e tapete","gluteo maximo","gluteo medio; isquiotibiais; core","anca; joelho; coluna","aumentar controlo no glute bridge com barra","GOOD_V1_B3","B3","baixo","A/B"
"Kickback de gluteo no cabo","kickback_de_gluteo_no_cabo","musculacao","gluteos","gluteos","Cabo baixo e tornozeleira","gluteo maximo","gluteo medio; isquiotibiais; core","anca; coluna","treinar extensao da anca no cabo sem balanco","GOOD_V1_B3","B3","baixo","A/B"
"Kickback de gluteo no cabo controlado","kickback_de_gluteo_no_cabo_controlado","musculacao","gluteos","gluteos","Cabo baixo e tornozeleira","gluteo maximo","gluteo medio; isquiotibiais; core","anca; coluna","controlar kickback no cabo com pelvis estavel","GOOD_V1_B3","B3","baixo","A/B"
"Kickback de gluteo no cabo com pausa","kickback_de_gluteo_no_cabo_com_pausa","musculacao","gluteos","gluteos","Cabo baixo e tornozeleira","gluteo maximo","gluteo medio; isquiotibiais; core","anca; coluna","pausar kickback no cabo no fim da extensao","GOOD_V1_B3","B3","baixo","A/B"
"Kickback de gluteo no cabo em tempo lento","kickback_de_gluteo_no_cabo_em_tempo_lento","musculacao","gluteos","gluteos","Cabo baixo e tornozeleira","gluteo maximo","gluteo medio; isquiotibiais; core","anca; coluna","aumentar controlo no kickback no cabo","GOOD_V1_B3","B3","baixo","A/B"
"Leg press unilateral","leg_press_unilateral","musculacao","quadriceps","pernas","Leg press","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","treinar empurrar unilateral no leg press","GOOD_V1_B3","B3","baixo","A/B"
"Leg press unilateral controlado","leg_press_unilateral_controlado","musculacao","quadriceps","pernas","Leg press","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","controlar leg press unilateral com joelho alinhado","GOOD_V1_B3","B3","baixo","A/B"
"Leg press unilateral com pausa","leg_press_unilateral_com_pausa","musculacao","quadriceps","pernas","Leg press","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","pausar leg press unilateral em amplitude segura","GOOD_V1_B3","B3","baixo","A/B"
"Leg press unilateral em tempo lento","leg_press_unilateral_em_tempo_lento","musculacao","quadriceps","pernas","Leg press","quadriceps e gluteos","isquiotibiais; adutores; gemeos","joelho; anca","aumentar controlo no leg press unilateral","GOOD_V1_B3","B3","baixo","A/B"
"Leg curl unilateral","leg_curl_unilateral","musculacao","isquiotibiais","pernas","Leg curl","isquiotibiais","gemeos; core leve","joelho","treinar flexao do joelho unilateral","GOOD_V1_B3","B3","baixo","A/B"
"Leg curl unilateral controlado","leg_curl_unilateral_controlado","musculacao","isquiotibiais","pernas","Leg curl","isquiotibiais","gemeos; core leve","joelho","controlar leg curl unilateral sem levantar anca","GOOD_V1_B3","B3","baixo","A/B"
"Leg curl unilateral com pausa","leg_curl_unilateral_com_pausa","musculacao","isquiotibiais","pernas","Leg curl","isquiotibiais","gemeos; core leve","joelho","pausar leg curl unilateral com joelho estavel","GOOD_V1_B3","B3","baixo","A/B"
"Leg curl unilateral em tempo lento","leg_curl_unilateral_em_tempo_lento","musculacao","isquiotibiais","pernas","Leg curl","isquiotibiais","gemeos; core leve","joelho","aumentar controlo no leg curl unilateral","GOOD_V1_B3","B3","baixo","A/B"
"Peso morto romeno com barra","peso_morto_romeno_com_barra","musculacao","isquiotibiais","pernas","Barra","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","treinar hinge de anca com barra","GOOD_V1_B3","B3","baixo","A/B"
"Peso morto romeno com barra controlado","peso_morto_romeno_com_barra_controlado","musculacao","isquiotibiais","pernas","Barra","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","controlar hinge com barra sem arredondar lombar","GOOD_V1_B3","B3","baixo","A/B"
"Peso morto romeno com barra com pausa","peso_morto_romeno_com_barra_com_pausa","musculacao","isquiotibiais","pernas","Barra","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","pausar peso morto romeno na posicao baixa segura","GOOD_V1_B3","B3","baixo","A/B"
"Peso morto romeno com barra em tempo lento","peso_morto_romeno_com_barra_em_tempo_lento","musculacao","isquiotibiais","pernas","Barra","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","aumentar controlo no peso morto romeno com barra","GOOD_V1_B3","B3","baixo","A/B"
"Peso morto romeno com halteres","peso_morto_romeno_com_halteres","musculacao","isquiotibiais","pernas","Halteres","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","treinar hinge de anca com halteres","GOOD_V1_B3","B3","colisao deduplicada","A/B"
"Peso morto romeno com halteres controlado","peso_morto_romeno_com_halteres_controlado","musculacao","isquiotibiais","pernas","Halteres","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","controlar hinge com halteres sem perder coluna neutra","GOOD_V1_B3","B3","baixo","A/B"
"Peso morto romeno com halteres com pausa","peso_morto_romeno_com_halteres_com_pausa","musculacao","isquiotibiais","pernas","Halteres","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","pausar peso morto romeno com halteres no fundo seguro","GOOD_V1_B3","B3","baixo","A/B"
"Peso morto romeno com halteres em tempo lento","peso_morto_romeno_com_halteres_em_tempo_lento","musculacao","isquiotibiais","pernas","Halteres","isquiotibiais e gluteos","lombar; adutores; dorsais estabilizadores","anca; joelho; coluna","aumentar controlo no peso morto romeno com halteres","GOOD_V1_B3","B3","baixo","A/B"
"Maquina adutora","maquina_adutora","musculacao","adutores","pernas","Maquina adutora","adutores da anca","core leve; gluteos estabilizadores","anca","treinar aducao da anca guiada","GOOD_V1_B3","B3","baixo","A/B"
"Maquina adutora regressivo","maquina_adutora_regressivo","musculacao","adutores","pernas","Maquina adutora","adutores da anca","core leve; gluteos estabilizadores","anca","reduzir amplitude na maquina adutora mantendo controlo","GOOD_V1_B3","B3","baixo","A/B"
"Maquina adutora com pausa curta","maquina_adutora_com_pausa_curta","musculacao","adutores","pernas","Maquina adutora","adutores da anca","core leve; gluteos estabilizadores","anca","pausar a aducao guiada sem forca maxima","GOOD_V1_B3","B3","baixo","A/B"
"Maquina adutora em ritmo lento","maquina_adutora_em_ritmo_lento","musculacao","adutores","pernas","Maquina adutora","adutores da anca","core leve; gluteos estabilizadores","anca","aumentar controlo na maquina adutora","GOOD_V1_B3","B3","baixo","A/B"
"Aducao de anca no cabo","aducao_de_anca_no_cabo","musculacao","adutores","pernas","Cabo baixo e tornozeleira","adutores da anca","core; gluteos estabilizadores","anca","treinar aducao da anca no cabo","GOOD_V1_B3","B3","baixo","A/B"
"Aducao de anca no cabo regressivo","aducao_de_anca_no_cabo_regressivo","musculacao","adutores","pernas","Cabo baixo e tornozeleira","adutores da anca","core; gluteos estabilizadores","anca","reduzir amplitude na aducao de anca no cabo","GOOD_V1_B3","B3","baixo","A/B"
"Aducao de anca no cabo com pausa curta","aducao_de_anca_no_cabo_com_pausa_curta","musculacao","adutores","pernas","Cabo baixo e tornozeleira","adutores da anca","core; gluteos estabilizadores","anca","pausar aducao de anca no cabo com pelvis estavel","GOOD_V1_B3","B3","baixo","A/B"
"Aducao de anca no cabo em ritmo lento","aducao_de_anca_no_cabo_em_ritmo_lento","musculacao","adutores","pernas","Cabo baixo e tornozeleira","adutores da anca","core; gluteos estabilizadores","anca","aumentar controlo na aducao de anca no cabo","GOOD_V1_B3","B3","baixo","A/B"
"Maquina abdutora","maquina_abdutora","musculacao","abdutores","pernas","Maquina abdutora","abdutores da anca","gluteo medio; gluteo minimo; core leve","anca","treinar abducao da anca guiada","GOOD_V1_B3","B3","baixo","A/B"
"Maquina abdutora regressivo","maquina_abdutora_regressivo","musculacao","abdutores","pernas","Maquina abdutora","abdutores da anca","gluteo medio; gluteo minimo; core leve","anca","reduzir amplitude na maquina abdutora mantendo controlo","GOOD_V1_B3","B3","baixo","A/B"
"Maquina abdutora com pausa curta","maquina_abdutora_com_pausa_curta","musculacao","abdutores","pernas","Maquina abdutora","abdutores da anca","gluteo medio; gluteo minimo; core leve","anca","pausar abducao guiada com pelvis estavel","GOOD_V1_B3","B3","baixo","A/B"
"Maquina abdutora em ritmo lento","maquina_abdutora_em_ritmo_lento","musculacao","abdutores","pernas","Maquina abdutora","abdutores da anca","gluteo medio; gluteo minimo; core leve","anca","aumentar controlo na maquina abdutora","GOOD_V1_B3","B3","baixo","A/B"
"Abducao de anca no cabo","abducao_de_anca_no_cabo","musculacao","abdutores","pernas","Cabo baixo e tornozeleira","abdutores da anca","gluteo medio; gluteo minimo; core","anca","treinar abducao da anca no cabo","GOOD_V1_B3","B3","baixo","A/B"
"Abducao de anca no cabo regressivo","abducao_de_anca_no_cabo_regressivo","musculacao","abdutores","pernas","Cabo baixo e tornozeleira","abdutores da anca","gluteo medio; gluteo minimo; core","anca","reduzir amplitude na abducao de anca no cabo","GOOD_V1_B3","B3","baixo","A/B"
"Abducao de anca no cabo com pausa curta","abducao_de_anca_no_cabo_com_pausa_curta","musculacao","abdutores","pernas","Cabo baixo e tornozeleira","abdutores da anca","gluteo medio; gluteo minimo; core","anca","pausar abducao de anca no cabo com pelvis estavel","GOOD_V1_B3","B3","baixo","A/B"
"Abducao de anca no cabo em ritmo lento","abducao_de_anca_no_cabo_em_ritmo_lento","musculacao","abdutores","pernas","Cabo baixo e tornozeleira","abdutores da anca","gluteo medio; gluteo minimo; core","anca","aumentar controlo na abducao de anca no cabo","GOOD_V1_B3","B3","baixo","A/B"
"Hack squat na maquina","hack_squat_na_maquina","musculacao","quadriceps","pernas","Maquina hack squat","quadriceps e gluteos","adutores; isquiotibiais; gemeos; core","joelho; anca; tornozelo","treinar agachamento guiado com enfase em quadriceps","GOOD_V1_ADDENDUM","B3-FIX","baixo","A/B"
"Agachamento frontal com barra","agachamento_frontal_com_barra","musculacao","quadriceps","pernas","Barra","quadriceps e gluteos","core; adutores; eretores da coluna; gemeos","joelho; anca; coluna; tornozelo","treinar agachamento com tronco vertical e barra anterior","GOOD_V1_ADDENDUM","B3-FIX","baixo","A/B"
"Remo Meadows com barra","remo_meadows_com_barra","musculacao","costas","costas","Barra apoiada no canto","costas medias e dorsais","romboides; trapezio medio; biceps; core anti-rotacao","ombro; cotovelo; escapula; coluna","treinar remada unilateral pesada com barra apoiada","GOOD_V1_ADDENDUM","B3-FIX","baixo","A/B"
"Pullover no cabo em pe","pullover_no_cabo_em_pe","musculacao","costas","costas","Cabo alto","grande dorsal","serrati anterior; triceps longo; core","ombro; escapula; coluna","treinar extensao do ombro para dorsais sem flexao do cotovelo","GOOD_V1_ADDENDUM","B3-FIX","baixo","A/B"
"Elevacao lateral na maquina","elevacao_lateral_na_maquina","musculacao","ombros","ombros","Maquina de elevacao lateral","deltoide medio","deltoide anterior; trapezio superior; core leve","ombro; escapula","treinar abducao do ombro guiada com amplitude controlada","GOOD_V1_ADDENDUM","B3-FIX","baixo","A/B"
"Crucifixo inverso com halteres no banco inclinado","crucifixo_inverso_com_halteres_no_banco_inclinado","musculacao","ombros","ombros","Halteres e banco inclinado","deltoide posterior","romboides; trapezio medio; rotadores externos","ombro; escapula","treinar deltoide posterior com apoio no banco inclinado","GOOD_V1_ADDENDUM","B3-FIX","baixo","A/B"
"Extensao de triceps na corda acima da cabeca","extensao_de_triceps_na_corda_acima_da_cabeca","musculacao","triceps","triceps","Cabo alto e corda","triceps braquial","core; deltoide anterior; serratil anterior","cotovelo; ombro; escapula","treinar extensao do cotovelo acima da cabeca com cabo","GOOD_V1_ADDENDUM","B3-FIX","baixo","A/B"
