"exercise_name","canonical_id","category","subcategory","equipment","filters","primary_muscle","quality","reachable","duplicate"
"Leg press 45 graus","leg_press_45_graus","musculacao","pernas","leg_press","lower;quadriceps;legs;quadriceps","quadriceps e gluteos","A_or_B_strict_passed","yes","no"
"Leg press 45 graus controlado","leg_press_45_graus_controlado","musculacao","pernas","leg_press","lower;quadriceps;legs;quadriceps","quadriceps e gluteos","A_or_B_strict_passed","yes","no"
"Leg press 45 graus com pausa","leg_press_45_graus_com_pausa","musculacao","pernas","leg_press","lower;quadriceps;legs;quadriceps","quadriceps e gluteos","A_or_B_strict_passed","yes","no"
"Leg press 45 graus em tempo lento","leg_press_45_graus_em_tempo_lento","musculacao","pernas","leg_press","lower;quadriceps;legs;quadriceps","quadriceps e gluteos","A_or_B_strict_passed","yes","no"
"Leg press horizontal","leg_press_horizontal","musculacao","pernas","leg_press","lower;quadriceps;legs;quadriceps","quadriceps e gluteos","A_or_B_strict_passed","yes","no"
"Leg press horizontal controlado","leg_press_horizontal_controlado","musculacao","pernas","leg_press","lower;quadriceps;legs;quadriceps","quadriceps e gluteos","A_or_B_strict_passed","yes","no"
"Leg press horizontal com pausa","leg_press_horizontal_com_pausa","musculacao","pernas","leg_press","lower;quadriceps;legs;quadriceps","quadriceps e gluteos","A_or_B_strict_passed","yes","no"
"Leg press horizontal em tempo lento","leg_press_horizontal_em_tempo_lento","musculacao","pernas","leg_press","lower;quadriceps;legs;quadriceps","quadriceps e gluteos","A_or_B_strict_passed","yes","no"
"Extensao de pernas na maquina","extensao_de_pernas_na_maquina","musculacao","pernas","leg_extension;machine","lower;quadriceps;legs;quadriceps","quadriceps","A_or_B_strict_passed","yes","no"
"Extensao de pernas na maquina controlado","extensao_de_pernas_na_maquina_controlado","musculacao","pernas","leg_extension;machine","lower;quadriceps;legs;quadriceps","quadriceps","A_or_B_strict_passed","yes","no"
"Extensao de pernas na maquina com pausa","extensao_de_pernas_na_maquina_com_pausa","musculacao","pernas","leg_extension;machine","lower;quadriceps;legs;quadriceps","quadriceps","A_or_B_strict_passed","yes","no"
"Extensao de pernas na maquina em tempo lento","extensao_de_pernas_na_maquina_em_tempo_lento","musculacao","pernas","leg_extension;machine","lower;quadriceps;legs;quadriceps","quadriceps","A_or_B_strict_passed","yes","no"
"Extensao de pernas unilateral","extensao_de_pernas_unilateral","musculacao","pernas","leg_extension;machine","lower;quadriceps;legs;quadriceps","quadriceps","A_or_B_strict_passed","yes","no"
"Extensao de pernas unilateral controlado","extensao_de_pernas_unilateral_controlado","musculacao","pernas","leg_extension;machine","lower;quadriceps;legs;quadriceps","quadriceps","A_or_B_strict_passed","yes","no"
"Extensao de pernas unilateral com pausa","extensao_de_pernas_unilateral_com_pausa","musculacao","pernas","leg_extension;machine","lower;quadriceps;legs;quadriceps","quadriceps","A_or_B_strict_passed","yes","no"
"Extensao de pernas unilateral em tempo lento","extensao_de_pernas_unilateral_em_tempo_lento","musculacao","pernas","leg_extension;machine","lower;quadriceps;legs;quadriceps","quadriceps","A_or_B_strict_passed","yes","no"
"Leg curl sentado","leg_curl_sentado","musculacao","pernas","leg_curl","lower;quadriceps;legs;quadriceps","isquiotibiais","A_or_B_strict_passed","yes","no"
"Leg curl sentado controlado","leg_curl_sentado_controlado","musculacao","pernas","leg_curl","lower;quadriceps;legs;quadriceps","isquiotibiais","A_or_B_strict_passed","yes","no"
"Leg curl sentado com pausa","leg_curl_sentado_com_pausa","musculacao","pernas","leg_curl","lower;quadriceps;legs;quadriceps","isquiotibiais","A_or_B_strict_passed","yes","no"
"Leg curl sentado em tempo lento","leg_curl_sentado_em_tempo_lento","musculacao","pernas","leg_curl","lower;quadriceps;legs;quadriceps","isquiotibiais","A_or_B_strict_passed","yes","no"
"Leg curl deitado","leg_curl_deitado","musculacao","pernas","leg_curl","lower;quadriceps;legs;quadriceps","isquiotibiais","A_or_B_strict_passed","yes","no"
"Leg curl deitado controlado","leg_curl_deitado_controlado","musculacao","pernas","leg_curl","lower;quadriceps;legs;quadriceps","isquiotibiais","A_or_B_strict_passed","yes","no"
"Leg curl deitado com pausa","leg_curl_deitado_com_pausa","musculacao","pernas","leg_curl","lower;quadriceps;legs;quadriceps","isquiotibiais","A_or_B_strict_passed","yes","no"
"Leg curl deitado em tempo lento","leg_curl_deitado_em_tempo_lento","musculacao","pernas","leg_curl","lower;quadriceps;legs;quadriceps","isquiotibiais","A_or_B_strict_passed","yes","no"
"Ab wheel a partir dos joelhos","ab_wheel_a_partir_dos_joelhos","musculacao","core","ab_wheel;mat","core;core_stability;core_general","core anterior","A_or_B_strict_passed","yes","no"
"Ab wheel a partir dos joelhos regressivo","ab_wheel_a_partir_dos_joelhos_regressivo","musculacao","core","ab_wheel;mat","core;core_stability;core_general","core anterior","A_or_B_strict_passed","yes","no"
"Ab wheel a partir dos joelhos com pausa curta","ab_wheel_a_partir_dos_joelhos_com_pausa_curta","musculacao","core","ab_wheel;mat","core;core_stability;core_general","core anterior","A_or_B_strict_passed","yes","no"
"Ab wheel a partir dos joelhos em ritmo lento","ab_wheel_a_partir_dos_joelhos_em_ritmo_lento","musculacao","core","ab_wheel;mat","core;core_stability;core_general","core anterior","A_or_B_strict_passed","yes","no"
"Farmer walk com halteres","farmer_walk_com_halteres","musculacao","antebraco_pega","dumbbells;free_space","upper;forearm_hand;arms;grip_strength","flexores do antebraco","A_or_B_strict_passed","yes","no"
"Farmer walk com halteres regressivo","farmer_walk_com_halteres_regressivo","musculacao","antebraco_pega","dumbbells;free_space","upper;forearm_hand;arms;grip_strength","flexores do antebraco","A_or_B_strict_passed","yes","no"
"Farmer walk com halteres com pausa curta","farmer_walk_com_halteres_com_pausa_curta","musculacao","antebraco_pega","dumbbells;free_space","upper;forearm_hand;arms;grip_strength","flexores do antebraco","A_or_B_strict_passed","yes","no"
"Farmer walk com halteres em ritmo lento","farmer_walk_com_halteres_em_ritmo_lento","musculacao","antebraco_pega","dumbbells;free_space","upper;forearm_hand;arms;grip_strength","flexores do antebraco","A_or_B_strict_passed","yes","no"
