name,catalog_entry_key,primary_type
"Peso morto romeno com halteres","peso_morto_romeno_com_halteres__pernas","musculacao"
"Curl de perna","curl_de_perna__pernas","musculacao"
"Good morning leve","good_morning_leve__pernas","musculacao"
"Abdução de anca","abducao_de_anca__pernas","musculacao"
"Adução de anca","aducao_de_anca__pernas","musculacao"
"Gémeos sentado","gemeos_sentado__pernas","musculacao"
"Sóleo sentado","soleo_sentado__pernas","musculacao"
"Dorsiflexão do tornozelo com elástico","dorsiflexao_do_tornozelo_com_elastico__pernas","musculacao"
"Inversão do tornozelo com elástico","inversao_do_tornozelo_com_elastico__pernas","musculacao"
"Eversão do tornozelo com elástico","eversao_do_tornozelo_com_elastico__pernas","musculacao"
"Flexão da anca em pé com elástico","flexao_da_anca_em_pe_com_elastico__pernas","musculacao"
"Copenhagen plank com apoio","copenhagen_plank_com_apoio__pernas","musculacao"
"Extensão terminal do joelho com elástico","extensao_terminal_do_joelho_com_elastico__pernas","musculacao"
"Peso morto unilateral com halteres","peso_morto_unilateral_com_halteres__pernas","musculacao"
"Marcha no lugar","marcha_no_lugar__cardio","cardio"
"Jumping jacks","jumping_jacks__cardio","cardio"
"Burpees","burpees__cardio","cardio"
"Skaters","skaters__cardio","cardio"
"High knees","high_knees__cardio","cardio"
"Circuito cardio peso corporal","circuito_cardio_peso_corporal__cardio","cardio"
"Sprints exterior","sprints_exterior__cardio","cardio"
"Corrida em subida","corrida_em_subida__cardio","cardio"
"HIIT peso corporal","hiit_peso_corporal__cardio","cardio"
"HIIT cardio","hiit_cardio__cardio","cardio"
"HIIT simples","hiit_simples__cardio","cardio"
"Circuito cardio leve","circuito_cardio_leve__cardio","cardio"
"Shadow boxing leve","shadow_boxing_leve__cardio","cardio"
"Shuttle runs / corrida vaivém","shuttle_runs_corrida_vaivem__cardio","cardio"
"Trabalho leve ao saco","trabalho_leve_ao_saco__karate","artes_marciais"
"Shrimp / fuga de anca","shrimp_fuga_de_anca__jiu_jitsu","artes_marciais"
"Ponte de grappling","ponte_de_grappling__jiu_jitsu","artes_marciais"
"Technical stand-up","technical_stand_up__jiu_jitsu","artes_marciais"
"Sprawl","sprawl__jiu_jitsu","artes_marciais"
"Drills de guarda","drills_de_guarda__jiu_jitsu","artes_marciais"
"Drills de passagem de guarda","drills_de_passagem_de_guarda__jiu_jitsu","artes_marciais"
"Rolamentos de solo","rolamentos_de_solo__jiu_jitsu","artes_marciais"
"Breakfalls (ukemi)","breakfalls_ukemi__jiu_jitsu","artes_marciais"
"Inversão granby com apoio","inversao_granby_com_apoio__jiu_jitsu","artes_marciais"
"Tocar nos pés sentado","tocar_nos_pes_sentado__mobilidade","mobilidade"
"Tocar nos pés em pé","tocar_nos_pes_em_pe__mobilidade","mobilidade"
"Respiração diafragmática","respiracao_diafragmatica__mobilidade","mobilidade"
"Caminhada leve","caminhada_leve__mobilidade","mobilidade"
"Relaxamento deitado","relaxamento_deitado__mobilidade","mobilidade"
"Respiração nasal lenta","respiracao_nasal_lenta__mobilidade","mobilidade"
"Foam roller para pernas","foam_roller_para_pernas__mobilidade","mobilidade"
"Foam roller para costas","foam_roller_para_costas__mobilidade","mobilidade"
"Bola de massagem para pés e glúteos","bola_de_massagem_para_pes_e_gluteos__mobilidade","mobilidade"
"Arrefecimento pós-treino de força","arrefecimento_pos_treino_de_forca__mobilidade","mobilidade"
"Arrefecimento pós-artes marciais","arrefecimento_pos_artes_marciais__mobilidade","mobilidade"
"Mawashi geri em alvo médio","mawashi_geri_em_alvo_medio__karate","artes_marciais"
"Trabalho leve ao saco com gyaku zuki","trabalho_leve_ao_saco_com_gyaku_zuki__karate","artes_marciais"
"Mae geri no saco leve","mae_geri_no_saco_leve__karate","artes_marciais"
"Shrimp básico no solo","shrimp_basico_no_solo__jiu_jitsu","artes_marciais"
"Base de boxe estática","base_de_boxe_estatica__boxe","artes_marciais"
"Guarda alta básica","guarda_alta_basica__boxe","artes_marciais"
"Queixo protegido em guarda","queixo_protegido_em_guarda__boxe","artes_marciais"
"Step-drag para frente e trás","step_drag_para_frente_e_tras__boxe","artes_marciais"
"Passo lateral com guarda","passo_lateral_com_guarda__boxe","artes_marciais"
"Pivot básico","pivot_basico__boxe","artes_marciais"
"Entrar e sair com jab imaginário","entrar_e_sair_com_jab_imaginario__boxe","artes_marciais"
"Jab parado","jab_parado__boxe","artes_marciais"
"Jab com passo","jab_com_passo__boxe","artes_marciais"
"Direto parado","direto_parado__boxe","artes_marciais"
"Jab e direto 1-2","jab_e_direto_1_2__boxe","artes_marciais"
"Gancho curto por fases","gancho_curto_por_fases__boxe","artes_marciais"
"Uppercut curto por fases","uppercut_curto_por_fases__boxe","artes_marciais"
"Golpe ao corpo em sombra","golpe_ao_corpo_em_sombra__boxe","artes_marciais"
"Parry de jab com parceiro","parry_de_jab_com_parceiro__boxe","artes_marciais"
"Bloqueio em guarda alta","bloqueio_em_guarda_alta__boxe","artes_marciais"
"Slip esquerda-direita","slip_esquerda_direita__boxe","artes_marciais"
"Roll por baixo de linha","roll_por_baixo_de_linha__boxe","artes_marciais"
"Cobrir e sair em ângulo","cobrir_e_sair_em_angulo__boxe","artes_marciais"
"Sombra de boxe leve","sombra_de_boxe_leve__boxe","artes_marciais"
"Sombra de boxe por rounds","sombra_de_boxe_por_rounds__boxe","artes_marciais"
"Rounds no saco de boxe ritmo leve","rounds_no_saco_de_boxe_ritmo_leve__boxe","artes_marciais"
"Rounds no saco de boxe ritmo moderado","rounds_no_saco_de_boxe_ritmo_moderado__boxe","artes_marciais"
"1-2 e saída lateral","1_2_e_saida_lateral__boxe","artes_marciais"
"Base de kickboxing estática","base_de_kickboxing_estatica__kickboxing","artes_marciais"
"Guarda de kickboxing","guarda_de_kickboxing__kickboxing","artes_marciais"
"Drill de distância mão-perna","drill_de_distancia_mao_perna__kickboxing","artes_marciais"
"Recuperar base após pontapé","recuperar_base_apos_pontape__kickboxing","artes_marciais"
"Jab de kickboxing","jab_de_kickboxing__kickboxing","artes_marciais"
"Direto de kickboxing","direto_de_kickboxing__kickboxing","artes_marciais"
"Low kick por fases","low_kick_por_fases__kickboxing","artes_marciais"
"Low kick ao saco leve","low_kick_ao_saco_leve__kickboxing","artes_marciais"
"Middle kick por fases","middle_kick_por_fases__kickboxing","artes_marciais"
"High kick técnico baixo para alto","high_kick_tecnico_baixo_para_alto__kickboxing","artes_marciais"
"Front kick para distância","front_kick_para_distancia__kickboxing","artes_marciais"
"Side kick técnico","side_kick_tecnico__kickboxing","artes_marciais"
"Jab, direto, low kick","jab_direto_low_kick__kickboxing","artes_marciais"
"Jab, direto, middle kick","jab_direto_middle_kick__kickboxing","artes_marciais"
"Low kick para direto","low_kick_para_direto__kickboxing","artes_marciais"
"Check de low kick básico","check_de_low_kick_basico__kickboxing","artes_marciais"
"Sair em ângulo após combinação","sair_em_angulo_apos_combinacao__kickboxing","artes_marciais"
"Combinações de kickboxing no saco leve","combinacoes_de_kickboxing_no_saco_leve__kickboxing","artes_marciais"
"Rounds de kickboxing no saco moderado","rounds_de_kickboxing_no_saco_moderado__kickboxing","artes_marciais"
"Base de Muay Thai estática","base_de_muay_thai_estatica__muay_thai","artes_marciais"
"Guarda alta de Muay Thai","guarda_alta_de_muay_thai__muay_thai","artes_marciais"
"Transferência de peso para check","transferencia_de_peso_para_check__muay_thai","artes_marciais"
"Low kick técnico sem impacto","low_kick_tecnico_sem_impacto__muay_thai","artes_marciais"
"Low kick ao saco","low_kick_ao_saco__muay_thai","artes_marciais"
"Middle kick técnico","middle_kick_tecnico__muay_thai","artes_marciais"
"Middle kick ao saco","middle_kick_ao_saco__muay_thai","artes_marciais"
"Teep técnico","teep_tecnico__muay_thai","artes_marciais"
"Teep em alvo leve","teep_em_alvo_leve__muay_thai","artes_marciais"
"Check de low kick em sombra","check_de_low_kick_em_sombra__muay_thai","artes_marciais"
"Jab e direto em guarda alta","jab_e_direto_em_guarda_alta__muay_thai","artes_marciais"
"Cotovelo horizontal básico","cotovelo_horizontal_basico__muay_thai","artes_marciais"
"Joelhada direta em sombra","joelhada_direta_em_sombra__muay_thai","artes_marciais"
"Joelhada no saco","joelhada_no_saco__muay_thai","artes_marciais"
"Postura de clinch com parceiro","postura_de_clinch_com_parceiro__muay_thai","artes_marciais"
"Entrada defensiva para clinch","entrada_defensiva_para_clinch__muay_thai","artes_marciais"
"Virar no clinch","virar_no_clinch__muay_thai","artes_marciais"
"Sair do clinch","sair_do_clinch__muay_thai","artes_marciais"
"Round leve no saco de Muay Thai","round_leve_no_saco_de_muay_thai__muay_thai","artes_marciais"
"Round moderado no saco de Muay Thai","round_moderado_no_saco_de_muay_thai__muay_thai","artes_marciais"
"Ukemi para trás por fases","ukemi_para_tras_por_fases__judo","artes_marciais"
"Ukemi lateral por fases","ukemi_lateral_por_fases__judo","artes_marciais"
"Rolamento frontal básico","rolamento_frontal_basico__judo","artes_marciais"
"Levantar após queda","levantar_apos_queda__judo","artes_marciais"
"Postura natural de Judo","postura_natural_de_judo__judo","artes_marciais"
"Kumi kata básico","kumi_kata_basico__judo","artes_marciais"
"Quebra de pegada simples","quebra_de_pegada_simples__judo","artes_marciais"
"Controlo de postura com pegada","controlo_de_postura_com_pegada__judo","artes_marciais"
"Kuzushi para a frente","kuzushi_para_a_frente__judo","artes_marciais"
"Kuzushi para trás","kuzushi_para_tras__judo","artes_marciais"
"Uchikomi parado","uchikomi_parado__judo","artes_marciais"
"Uchikomi em movimento","uchikomi_em_movimento__judo","artes_marciais"
"O soto gari por fases","o_soto_gari_por_fases__judo","artes_marciais"
"O goshi por fases","o_goshi_por_fases__judo","artes_marciais"
"De ashi barai técnico","de_ashi_barai_tecnico__judo","artes_marciais"
"Seoi nage entrada básica","seoi_nage_entrada_basica__judo","artes_marciais"
"Kesa gatame básico","kesa_gatame_basico__judo","artes_marciais"
"Escape de imobilização básico","escape_de_imobilizacao_basico__judo","artes_marciais"
"Transição queda para controlo","transicao_queda_para_controlo__judo","artes_marciais"
"Base de Taekwondo estática","base_de_taekwondo_estatica__taekwondo","artes_marciais"
"Guarda de Taekwondo","guarda_de_taekwondo__taekwondo","artes_marciais"
"Bounce step leve","bounce_step_leve__taekwondo","artes_marciais"
"Entrar e sair da distância de pontapé","entrar_e_sair_da_distancia_de_pontape__taekwondo","artes_marciais"
"Pontapé frontal por fases","pontape_frontal_por_fases__taekwondo","artes_marciais"
"Pontapé circular baixo","pontape_circular_baixo__taekwondo","artes_marciais"
"Pontapé circular médio em alvo","pontape_circular_medio_em_alvo__taekwondo","artes_marciais"
"Pontapé lateral por fases","pontape_lateral_por_fases__taekwondo","artes_marciais"
"Pontapé para trás técnico","pontape_para_tras_tecnico__taekwondo","artes_marciais"
"Pontapé descendente controlado","pontape_descendente_controlado__taekwondo","artes_marciais"
"Hold de câmara de pontapé","hold_de_camara_de_pontape__taekwondo","artes_marciais"
"Extensão e recolha lenta","extensao_e_recolha_lenta__taekwondo","artes_marciais"
"Equilíbrio em uma perna","equilibrio_em_uma_perna__taekwondo","artes_marciais"
"Progressão de altura do pontapé","progressao_de_altura_do_pontape__taekwondo","artes_marciais"
"Sequência frontal e circular","sequencia_frontal_e_circular__taekwondo","artes_marciais"
"Rounds de pontapés técnicos","rounds_de_pontapes_tecnicos__taekwondo","artes_marciais"
"Sombra de pontapés","sombra_de_pontapes__taekwondo","artes_marciais"
"Mapa rápido de saídas","mapa_rapido_de_saidas__defesa_pessoal","artes_marciais"
"Guarda não agressiva","guarda_nao_agressiva__defesa_pessoal","artes_marciais"
"Guarda defensiva básica","guarda_defensiva_basica__defesa_pessoal","artes_marciais"
"Passo para trás e ângulo","passo_para_tras_e_angulo__defesa_pessoal","artes_marciais"
"Barreira verbal e mãos abertas","barreira_verbal_e_maos_abertas__defesa_pessoal","artes_marciais"
"Cobertura básica contra golpes","cobertura_basica_contra_golpes__defesa_pessoal","artes_marciais"
"Sair da linha de ataque","sair_da_linha_de_ataque__defesa_pessoal","artes_marciais"
"Desvio simples de mão","desvio_simples_de_mao__defesa_pessoal","artes_marciais"
"Entrada defensiva para clinch","entrada_defensiva_para_clinch__defesa_pessoal","artes_marciais"
"Palm strike e saída","palm_strike_e_saida__defesa_pessoal","artes_marciais"
"Saída de agarre no pulso","saida_de_agarre_no_pulso__defesa_pessoal","artes_marciais"
"Frame no clinch","frame_no_clinch__defesa_pessoal","artes_marciais"
"Sair do clinch com frame e passo","sair_do_clinch_com_frame_e_passo__defesa_pessoal","artes_marciais"
"Sprawl funcional","sprawl_funcional__defesa_pessoal","artes_marciais"
"Queda segura funcional","queda_segura_funcional__defesa_pessoal","artes_marciais"
"Frames no chão contra pressão","frames_no_chao_contra_pressao__defesa_pessoal","artes_marciais"
"Technical stand-up funcional","technical_stand_up_funcional__defesa_pessoal","artes_marciais"
"Palm strike em alvo","palm_strike_em_alvo__defesa_pessoal","artes_marciais"
"Low kick simples funcional","low_kick_simples_funcional__defesa_pessoal","artes_marciais"
"Joelhada simples para criar espaço","joelhada_simples_para_criar_espaco__defesa_pessoal","artes_marciais"
"Empurrar e sair","empurrar_e_sair__defesa_pessoal","artes_marciais"
"Drill decisão de fuga","drill_decisao_de_fuga__defesa_pessoal","artes_marciais"
"Regra de múltiplas ameaças","regra_de_multiplas_ameacas__defesa_pessoal","artes_marciais"
"Sair da parede com ângulo","sair_da_parede_com_angulo__defesa_pessoal","artes_marciais"
"Boxe","boxe__artes_marciais","artes_marciais"
"Muay Thai","muay_thai__artes_marciais","artes_marciais"
"Jiu-Jitsu / BJJ","jiu_jitsu_bjj__artes_marciais","artes_marciais"
"Judo","judo__artes_marciais","artes_marciais"
"CARs cervicais suaves","cars_cervicais_suaves__mobilidade","mobilidade"
"Chin tuck deitado","chin_tuck_deitado__mobilidade","mobilidade"
"Extensão torácica no chão","extensao_toracica_no_chao__mobilidade","mobilidade"
"Extensão torácica sobre rolo","extensao_toracica_sobre_rolo__mobilidade","mobilidade"
"Rotação torácica em quadrupedia","rotacao_toracica_em_quadrupedia__mobilidade","mobilidade"
"Thread the needle","thread_the_needle__mobilidade","mobilidade"
"Thread the needle com alcance","thread_the_needle_com_alcance__mobilidade","mobilidade"
"Respiração costal deitada","respiracao_costal_deitada__mobilidade","mobilidade"
"Wall angels","wall_angels__mobilidade","mobilidade"
"Elevação de braços contra parede","elevacao_de_bracos_contra_parede__mobilidade","mobilidade"
"Pelvic tilts deitado","pelvic_tilts_deitado__mobilidade","mobilidade"
"Pelvic tilts em quadrupedia","pelvic_tilts_em_quadrupedia__mobilidade","mobilidade"
"Rock back com coluna neutra","rock_back_com_coluna_neutra__mobilidade","mobilidade"
"Hinge drill sem carga","hinge_drill_sem_carga__mobilidade","mobilidade"
"Cat cow controlado","cat_cow_controlado__mobilidade","mobilidade"
"Rotação lombar deitado joelhos lado a lado","rotacao_lombar_deitado_joelhos_lado_a_lado__mobilidade","mobilidade"
"Dead bug com retroversão","dead_bug_com_retroversao__mobilidade","mobilidade"
"Respiração com bracing leve","respiracao_com_bracing_leve__mobilidade","mobilidade"
"Scapular push-up","scapular_push_up__mobilidade","mobilidade"
"Protração e retração em quadrupedia","protracao_e_retracao_em_quadrupedia__mobilidade","mobilidade"
"Elevação e depressão escapular em pé","elevacao_e_depressao_escapular_em_pe__mobilidade","mobilidade"
"Depressão escapular na barra","depressao_escapular_na_barra__mobilidade","mobilidade"
"Serratus reach","serratus_reach__mobilidade","mobilidade"
"Prancha com protração escapular","prancha_com_protracao_escapular__mobilidade","mobilidade"
"Bear position scapular control","bear_position_scapular_control__mobilidade","mobilidade"
"Scapular pull-up","scapular_pull_up__mobilidade","mobilidade"
"CARs escapulares em pé","cars_escapulares_em_pe__mobilidade","mobilidade"
"Flexão de ombro deitado","flexao_de_ombro_deitado__mobilidade","mobilidade"
"Elevação de braços na parede","elevacao_de_bracos_na_parede__mobilidade","mobilidade"
"Shoulder extension lift-off","shoulder_extension_lift_off__mobilidade","mobilidade"
"Rotação externa com cotovelo junto ao corpo","rotacao_externa_com_cotovelo_junto_ao_corpo__mobilidade","mobilidade"
"Rotação externa deitado de lado","rotacao_externa_deitado_de_lado__mobilidade","mobilidade"
"Rotação interna com cotovelo junto ao corpo","rotacao_interna_com_cotovelo_junto_ao_corpo__mobilidade","mobilidade"
"Shoulder CARs","shoulder_cars__mobilidade","mobilidade"
"Overhead hold sem carga","overhead_hold_sem_carga__mobilidade","mobilidade"
"Passagens com cabo de vassoura","passagens_com_cabo_de_vassoura__mobilidade","mobilidade"
"Shoulder dislocates controlados","shoulder_dislocates_controlados__mobilidade","mobilidade"
"Guarda alta com respiração","guarda_alta_com_respiracao__mobilidade","mobilidade"
"Guarda alta com passos leves","guarda_alta_com_passos_leves__mobilidade","mobilidade"
"Flexão e extensão ativa do cotovelo","flexao_e_extensao_ativa_do_cotovelo__mobilidade","mobilidade"
"Extensão terminal do cotovelo leve","extensao_terminal_do_cotovelo_leve__mobilidade","mobilidade"
"Pronação e supinação com cotovelo fixo","pronacao_e_supinacao_com_cotovelo_fixo__mobilidade","mobilidade"
"Pronação e supinação com halter leve","pronacao_e_supinacao_com_halter_leve__mobilidade","mobilidade"
"Isometria leve de cotovelo a 90 graus","isometria_leve_de_cotovelo_a_90_graus__mobilidade","mobilidade"
"Frames leves em quadrupedia","frames_leves_em_quadrupedia__mobilidade","mobilidade"
"Desvio radial e ulnar ativo","desvio_radial_e_ulnar_ativo__mobilidade","mobilidade"
"Rocking de punho em quadrupedia","rocking_de_punho_em_quadrupedia__mobilidade","mobilidade"
"Extensão de punho com palmas no chão","extensao_de_punho_com_palmas_no_chao__mobilidade","mobilidade"
"Punhos para flexões","punhos_para_flexoes__mobilidade","mobilidade"
"Abrir e fechar dedos","abrir_e_fechar_dedos__mobilidade","mobilidade"
"Extensão dos dedos com elástico","extensao_dos_dedos_com_elastico__mobilidade","mobilidade"
"Ondas dos dedos","ondas_dos_dedos__mobilidade","mobilidade"
"Aquecimento de dedos para kimono","aquecimento_de_dedos_para_kimono__mobilidade","mobilidade"
"Flexão de anca em pé com apoio","flexao_de_anca_em_pe_com_apoio__mobilidade","mobilidade"
"Marcha lenta com joelho alto","marcha_lenta_com_joelho_alto__mobilidade","mobilidade"
"Extensão de anca em quadrupedia","extensao_de_anca_em_quadrupedia__mobilidade","mobilidade"
"Hip extension lift-off","hip_extension_lift_off__mobilidade","mobilidade"
"Rotação interna de anca sentado","rotacao_interna_de_anca_sentado__mobilidade","mobilidade"
"90/90 lift-off rotação interna","90_90_lift_off_rotacao_interna__mobilidade","mobilidade"
"Rotação externa de anca sentado","rotacao_externa_de_anca_sentado__mobilidade","mobilidade"
"Pigeon ativo","pigeon_ativo__mobilidade","mobilidade"
"Rock back de adutores","rock_back_de_adutores__mobilidade","mobilidade"
"Cossack squat assistido","cossack_squat_assistido__mobilidade","mobilidade"
"Hip CARs em pé com apoio","hip_cars_em_pe_com_apoio__mobilidade","mobilidade"
"Hip CARs em quadrupedia","hip_cars_em_quadrupedia__mobilidade","mobilidade"
"90/90 switches","90_90_switches__mobilidade","mobilidade"
"90/90 hold ativo","90_90_hold_ativo__mobilidade","mobilidade"
"Agachamento profundo assistido","agachamento_profundo_assistido__mobilidade","mobilidade"
"Squat pry leve","squat_pry_leve__mobilidade","mobilidade"
"Câmara de pontapé frontal","camara_de_pontape_frontal__mobilidade","mobilidade"
"Câmara de pontapé circular","camara_de_pontape_circular__mobilidade","mobilidade"
"Recolha lenta do pontapé","recolha_lenta_do_pontape__mobilidade","mobilidade"
"Hip heist lento","hip_heist_lento__mobilidade","mobilidade"
"Shin box switch","shin_box_switch__mobilidade","mobilidade"
"Heel slides","heel_slides__mobilidade","mobilidade"
"Flexão de joelho em pé","flexao_de_joelho_em_pe__mobilidade","mobilidade"
"Extensão ativa do joelho sentado","extensao_ativa_do_joelho_sentado__mobilidade","mobilidade"
"Extensão terminal do joelho com elástico","extensao_terminal_do_joelho_com_elastico__mobilidade","mobilidade"
"Agachamento para cadeira controlado","agachamento_para_cadeira_controlado__mobilidade","mobilidade"
"Step down controlado","step_down_controlado__mobilidade","mobilidade"
"Split squat parcial controlado","split_squat_parcial_controlado__mobilidade","mobilidade"
"Base marcial com joelho alinhado","base_marcial_com_joelho_alinhado__mobilidade","mobilidade"
"Knee to wall","knee_to_wall__mobilidade","mobilidade"
"Flexão plantar ativa","flexao_plantar_ativa__mobilidade","mobilidade"
"Apontar e puxar o pé","apontar_e_puxar_o_pe__mobilidade","mobilidade"
"Inversão e eversão ativas","inversao_e_eversao_ativas__mobilidade","mobilidade"
"Inversão e eversão com elástico leve","inversao_e_eversao_com_elastico_leve__mobilidade","mobilidade"
"Mobilidade de tornozelo em agachamento","mobilidade_de_tornozelo_em_agachamento__mobilidade","mobilidade"
"Pogo prep leve","pogo_prep_leve__mobilidade","mobilidade"
"Pivots controlados","pivots_controlados__mobilidade","mobilidade"
"Short foot","short_foot__mobilidade","mobilidade"
"Doming do pé","doming_do_pe__mobilidade","mobilidade"
